sample	raw	trim.1	trim.2
P02_05_G	14983	14137	14099
P02_12_D	69600	68621	68570
P03_08_E	7510	6300	6273
P03_12_G	1486	256	75
P01_05_C	5894	4368	4357
P02_01_F	21168	20598	20564
P02_09_A	4478	1600	188
P03_11_H	22838	22467	22466
P05_03_H	14810	14245	14241
P03_07_A	56371	54607	54467
P03_10_G	21991	21516	21486
P03_12_E	3130	1453	1299
P05_05_E	5773	4784	4505
P05_05_D	1818	1555	1511
P05_10_B	1412	284	77
P03_04_B	62581	60469	60394
P03_08_B	104557	103043	103038
P01_02_E	15899	12580	12529
P03_04_E	8503	5569	5497
P05_10_F	7357	1821	186
P01_02_C	68654	66864	66850
P02_09_F	12639	11711	11488
P02_05_H	16194	15620	15538
P03_10_H	25241	24728	24693
P05_06_E	10888	10329	10313
P05_05_G	5318	4645	4545
P02_10_A	3975	3252	3180
P03_08_C	35890	35255	35245
P05_01_A	10720	9572	9538
P03_01_H	43767	42511	42492
P03_12_F	3969	549	164
P02_03_D	20449	19787	19775
P01_12_D	32324	31697	31681
P05_01_E	51991	50547	50534
P05_02_H	159285	156879	156818
P02_03_A	32979	31353	28712
P01_12_F	38402	36806	36452
P01_04_G	55497	49659	48573
P03_07_B	31110	29239	29211
P01_09_A	7685	6366	6337
P02_01_B	22223	21441	21428
P05_03_G	9130	8108	7369
P01_09_D	15018	13273	6665
P01_11_A	3302	3121	2336
P02_02_G	15193	14320	14223
P02_07_E	5835	5482	5453
P03_12_A	2222	498	75
P01_04_B	11334	10111	10008
P01_05_G	104111	100263	95010
P01_10_H	89284	87938	87887
P01_04_E	21255	14839	14666
P02_07_A	23681	22134	20237
P01_07_G	67724	61932	18038
P05_03_E	21199	20794	20788
P01_08_C	15349	13772	12616
P03_01_E	30710	29701	29682
P05_06_H	19719	18849	18716
P03_03_E	7842	7223	7165
P05_06_A	8287	7411	7380
P02_04_G	74800	72575	72508
P03_04_F	49306	47477	47357
P03_07_H	61308	60302	60283
P03_05_F	37543	36904	36900
P03_04_G	96234	94055	93999
P02_03_F	43245	40835	40779
P05_06_F	2817	2383	2359
P01_09_G	18945	18286	18265
P02_04_E	14869	13898	13441
P03_04_H	36977	36406	36404
P03_05_G	80199	78442	78395
P01_06_A	21629	18482	18104
P01_10_E	10667	8579	7734
P01_04_A	4455	3445	3416
P02_07_D	16273	15613	15310
P05_04_E	49170	47848	47746
P05_03_B	83905	82529	82144
P01_03_B	9100	7509	7486
P02_06_F	12986	12313	12294
P02_08_D	93309	91794	91768
P02_02_A	7528	6811	6617
P03_09_C	39397	38771	38766
P02_11_E	6899	6498	6469
P02_08_A	35115	33183	33064
P03_11_G	45222	44287	44219
P02_11_D	133639	131707	131678
P01_10_C	49988	49215	49169
P05_10_D	1878	296	89
P01_01_E	17860	14807	14715
P01_03_F	38228	36598	36584
P05_01_C	127441	125715	125657
P01_06_H	3273	657	266
P05_04_F	13884	13180	12741
P01_09_F	25467	24008	23917
P02_06_B	13908	13008	12965
P01_06_E	9943	8464	8426
P01_08_A	16938	15546	15287
P05_03_F	25196	24707	24693
P05_10_G	6266	1025	371
P01_05_A	10254	7622	7573
P02_06_E	6691	6230	6178
P02_10_C	77669	75824	65765
P05_07_G	3468	2939	2903
P05_07_F	2242	1611	1547
P02_03_H	48538	47153	47104
P01_03_C	54341	52929	52885
P01_05_D	7673	6047	5487
P03_08_F	23859	23494	23485
P02_08_E	4462	4107	3990
P05_07_E	3083	2497	2469
P01_11_C	816408	802209	798939
P05_08_D	2554	2158	2139
P05_04_C	8226	7904	7901
P05_08_G	3903	3450	3426
P01_05_H	26440	24748	23154
P02_06_H	78723	77430	76426
P03_05_A	4282	2594	2545
P02_10_G	42556	41764	41713
P01_02_D	65739	64417	64395
P01_01_F	209837	205669	205550
P01_02_A	8767	7480	7478
P01_03_D	93211	91507	91442
P05_10_A	624	34	14
P05_05_H	15728	15007	15001
P02_01_E	4176	3846	3843
P01_04_C	22188	20486	20457
P01_08_H	24282	23075	9223
P02_04_F	19048	18084	17952
P03_12_C	5584	4467	4330
P03_11_F	8274	7594	7486
P03_09_B	46597	45947	45946
P01_08_G	42866	40492	22886
P05_10_H	4962	1906	71
P05_08_C	902	694	637
P02_04_A	3154	2671	2663
P03_10_C	107970	105947	105943
P03_05_H	39097	38332	38318
P02_11_B	93567	91828	91449
P02_12_H	119092	117338	117286
P03_05_E	3224	2401	2392
P02_12_C	101423	99981	99952
P05_09_C	8233	8026	7999
P01_04_H	13833	12653	12585
P01_01_D	54030	52646	52117
P03_01_G	21359	20160	20114
P05_10_C	1922	359	131
P02_02_H	38257	37257	37114
P02_10_F	14069	13796	13784
P05_04_H	18614	17794	17716
P05_08_F	2391	1765	1702
P01_11_B	16458	15516	15337
P03_01_D	12718	11617	11548
P02_12_B	93091	91227	91113
P02_11_C	87835	86451	86412
P02_09_E	10154	9531	8608
P03_09_G	20761	20370	20346
P03_09_D	33721	33198	33188
P03_04_C	32631	32006	31938
P02_10_E	2714	2591	2559
P03_02_H	70051	68704	68678
P05_02_E	15548	14597	14589
P05_07_D	5125	4614	4578
P05_08_H	6907	2974	2592
P03_03_A	15046	14730	14724
P03_06_B	34579	32058	31873
P05_01_B	36328	35344	35319
P05_01_F	45604	44709	44663
P02_04_C	21532	20841	20639
P03_09_H	29938	29480	29475
P03_12_B	3627	2541	2525
P03_07_E	6130	5039	5015
P05_05_B	8976	8379	8364
P05_09_E	32423	31785	31637
P01_07_H	21674	20372	9173
P02_01_C	19713	19338	19328
P01_07_C	6402	5580	5438
P03_03_G	43257	42496	42478
P01_10_D	24298	23797	23756
P01_10_A	8714	7443	7431
P01_12_C	47878	46854	46833
